theta1_deg,theta2_deg,m00_id1_mcp_delta_mm,m01_id2_mcp_delta_mm,m02_id3_mcp_routing_delta_mm,m03_id4_mcp_routing_delta_mm,m00_id1_invalid_mask,m01_id2_invalid_mask,m02_id3_invalid_mask,m03_id4_invalid_mask
-20.0,19.0,0.503501,-4.820589,-0.331112,2.929206,0,0,0,0
-20.0,19.2,0.482968,-4.840782,-0.343320,2.943063,0,0,0,0
-20.0,19.4,0.462435,-4.860974,-0.355525,2.956753,0,0,0,0
-20.0,19.6,0.441902,-4.881166,-0.367729,2.970379,0,0,0,0
-20.0,19.8,0.421369,-4.901356,-0.379930,2.983938,0,0,0,0
-20.0,20.0,0.400837,-4.921546,-0.392130,2.997431,0,0,0,0
-20.0,20.2,0.380304,-4.941735,-0.404326,3.010856,0,0,0,0
-20.0,20.4,0.359772,-4.961924,-0.416520,3.024213,0,0,0,0
-20.0,20.6,0.339240,-4.982112,-0.428883,3.037499,0,0,0,0
-20.0,20.8,0.318708,-5.002299,-0.441100,3.050844,0,0,0,0
-20.0,21.0,0.298175,-5.022486,-0.453317,3.064040,0,0,0,0
-20.0,21.2,0.277643,-5.042672,-0.465534,3.077174,0,0,0,0
-20.0,21.4,0.257111,-5.062857,-0.477751,3.090247,0,0,0,0
-20.0,21.6,0.236580,-5.083042,-0.489966,3.103255,0,0,0,0
-20.0,21.8,0.216048,-5.103226,-0.502181,3.116200,0,0,0,0
-20.0,22.0,0.195516,-5.123409,-0.514395,3.129080,0,0,0,0
-20.0,22.2,0.174985,-5.143591,-0.526608,3.141893,0,0,0,0
-20.0,22.4,0.154453,-5.163774,-0.538820,3.154640,0,0,0,0
-20.0,22.6,0.133922,-5.183954,-0.551030,3.167466,0,0,0,0
-20.0,22.8,0.113390,-5.204135,-0.563239,3.180132,0,0,0,0
-20.0,23.0,0.092859,-5.224315,-0.575506,3.192739,0,0,0,0
-20.0,23.2,0.072328,-5.244493,-0.587771,3.205287,0,0,0,0
-20.0,23.4,0.051797,-5.264672,-0.600082,3.217776,0,0,0,0
-20.0,23.6,0.031266,-5.284850,-0.612441,3.230203,0,0,0,0
-20.0,23.8,0.010735,-5.305027,-0.624846,3.242656,0,0,0,0
-20.0,24.0,-0.009796,-5.325202,-0.637297,3.255118,0,0,0,0
-20.0,24.2,-0.030327,-5.345378,-0.649795,3.267625,0,0,0,0
-20.0,24.4,-0.050857,-5.365553,-0.662340,3.280178,0,0,0,0
-20.0,24.6,-0.071388,-5.385727,-0.674931,3.292776,0,0,0,0
-20.0,24.8,-0.091918,-5.405900,-0.687568,3.305419,0,0,0,0
-20.0,25.0,-0.112448,-5.426073,-0.700252,3.318108,0,0,0,0
-20.0,25.2,-0.132979,-5.446245,-0.712983,3.330842,0,0,0,0
-20.0,25.4,-0.153509,-5.466416,-0.725759,3.343622,0,0,0,0
-20.0,25.6,-0.174039,-5.486586,-0.738582,3.356447,0,0,0,0
-20.0,25.8,-0.194569,-5.506756,-0.751452,3.369316,0,0,0,0
-20.0,26.0,-0.215099,-5.526925,-0.764369,3.382233,0,0,0,0
-20.0,26.2,-0.235629,-5.547093,-0.777345,3.395211,0,0,0,0
-20.0,26.4,-0.256158,-5.567261,-0.790381,3.408251,0,0,0,0
-20.0,26.6,-0.276688,-5.587427,-0.803478,3.421354,0,0,0,0
-20.0,26.8,-0.297217,-5.607594,-0.816635,3.434519,0,0,0,0
-20.0,27.0,-0.317747,-5.627759,-0.829853,3.447747,0,0,0,0
-20.0,27.2,-0.338276,-5.647923,-0.843131,3.461036,0,0,0,0
-20.0,27.4,-0.358805,-5.668087,-0.856468,3.474389,0,0,0,0
-20.0,27.6,-0.379335,-5.688250,-0.869867,3.487803,0,0,0,0
-20.0,27.8,-0.399864,-5.708413,-0.883325,3.501280,0,0,0,0
-20.0,28.0,-0.420393,-5.728574,-0.896843,3.514818,0,0,0,0
-20.0,28.2,-0.440921,-5.748735,-0.910421,3.528419,0,0,0,0
-20.0,28.4,-0.461450,-5.768895,-0.924059,3.542082,0,0,0,0
-20.0,28.6,-0.481979,-5.789054,-0.937756,3.555806,0,0,0,0
-20.0,28.8,-0.502507,-5.809213,-0.951514,3.569593,0,0,0,0
-20.0,29.0,-0.523036,-5.829370,-0.965331,3.583441,0,0,0,0
-20.0,29.2,-0.543564,-5.849528,-0.979208,3.597351,0,0,0,0
-20.0,29.4,-0.564093,-5.869684,-0.993144,3.611322,0,0,0,0
-20.0,29.6,-0.584621,-5.889840,-1.007140,3.625356,0,0,0,0
-20.0,29.8,-0.605149,-5.909994,-1.021196,3.639450,0,0,0,0
-20.0,30.0,-0.625677,-5.930148,-1.035310,3.653606,0,0,0,0
-20.0,30.2,-0.646205,-5.950302,-1.049484,3.667824,0,0,0,0
-20.0,30.4,-0.666733,-5.970454,-1.063718,3.682102,0,0,0,0
-20.0,30.6,-0.687260,-5.990606,-1.078010,3.696442,0,0,0,0
-20.0,30.8,-0.707788,-6.010756,-1.092362,3.710844,0,0,0,0
-20.0,31.0,-0.728316,-6.030907,-1.106773,3.725306,0,0,0,0
-20.0,31.2,-0.748843,-6.051056,-1.121243,3.739829,0,0,0,0
-20.0,31.4,-0.769370,-6.071205,-1.135772,3.754413,0,0,0,0
-20.0,31.6,-0.789898,-6.091352,-1.150359,3.769058,0,0,0,0
-20.0,31.8,-0.810425,-6.111499,-1.165006,3.783764,0,0,0,0
-20.0,32.0,-0.830952,-6.131646,-1.179711,3.798531,0,0,0,0
-20.0,32.2,-0.851479,-6.151791,-1.194475,3.813358,0,0,0,0
-20.0,32.4,-0.872006,-6.171936,-1.209297,3.828246,0,0,0,0
-20.0,32.6,-0.892532,-6.192080,-1.224178,3.843194,0,0,0,0
-20.0,32.8,-0.913059,-6.212223,-1.239118,3.858203,0,0,0,0
-20.0,33.0,-0.933585,-6.232365,-1.254116,3.873273,0,0,0,0
-20.0,33.2,-0.954112,-6.252506,-1.269172,3.888402,0,0,0,0
-20.0,33.4,-0.974638,-6.272647,-1.284287,3.903592,0,0,0,0
-20.0,33.6,-0.995165,-6.292787,-1.299460,3.918842,0,0,0,0
-20.0,33.8,-1.015691,-6.312926,-1.314691,3.934152,0,0,0,0
-20.0,34.0,-1.036217,-6.333064,-1.329980,3.949522,0,0,0,0
-20.0,34.2,-1.056743,-6.353201,-1.345327,3.964953,0,0,0,0
-20.0,34.4,-1.077268,-6.373338,-1.360732,3.980444,0,0,0,0
-20.0,34.6,-1.097794,-6.393474,-1.376195,3.995995,0,0,0,0
-20.0,34.8,-1.118320,-6.413609,-1.391716,4.011605,0,0,0,0
-20.0,35.0,-1.138845,-6.433743,-1.407295,4.027276,0,0,0,0
-20.0,35.2,-1.159371,-6.453876,-1.422931,4.043006,0,0,0,0
-20.0,35.4,-1.179896,-6.474009,-1.438625,4.058796,0,0,0,0
-20.0,35.6,-1.200421,-6.494141,-1.454376,4.074646,0,0,0,0
-20.0,35.8,-1.220947,-6.514271,-1.470186,4.090555,0,0,0,0
