theta1_deg,m04_theta1_return_delta_mm,theta2_deg,m04_theta2_return_delta_mm
,,61.2,4.399970
,,61.4,4.414816
,,61.6,4.429727
,,61.8,4.444703
,,62.0,4.459744
,,62.2,4.474850
,,62.4,4.490021
,,62.6,4.505257
,,62.8,4.520558
,,63.0,4.535923
,,63.2,4.551353
,,63.4,4.566849
,,63.6,4.582408
,,63.8,4.598032
,,64.0,4.613721
,,64.2,4.629475
,,64.4,4.645293
,,64.6,4.661175
,,64.8,4.677122
,,65.0,4.693133
,,65.2,4.709208
,,65.4,4.725348
,,65.6,4.741551
,,65.8,4.757819
,,66.0,4.774151
,,66.2,4.790547
,,66.4,4.807007
,,66.6,4.823531
,,66.8,4.840118
,,67.0,4.856770
,,67.2,4.873485
,,67.4,4.890264
,,67.6,4.907107
,,67.8,4.924013
,,68.0,4.940983
,,68.2,4.958016
,,68.4,4.975113
,,68.6,4.992273
,,68.8,5.009497
,,69.0,5.026784
,,69.2,5.044134
,,69.4,5.061547
,,69.6,5.079024
,,69.8,5.096563
,,70.0,5.114166
,,70.2,5.131832
,,70.4,5.149560
,,70.6,5.167351
,,70.8,5.185205
,,71.0,5.203123
,,71.2,5.221102
,,71.4,5.239144
,,71.6,5.257249
,,71.8,5.275417
,,72.0,5.293647
,,72.2,5.311939
,,72.4,5.330294
,,72.6,5.348711
,,72.8,5.367190
,,73.0,5.385732
,,73.2,5.404335
,,73.4,5.423001
,,73.6,5.441729
,,73.8,5.460519
,,74.0,5.479370
,,74.2,5.498284
,,74.4,5.517259
,,74.6,5.536296
,,74.8,5.555395
,,75.0,5.574555
,,75.2,5.593777
,,75.4,5.613060
,,75.6,5.632405
,,75.8,5.651812
,,76.0,5.671279
,,76.2,5.690808
,,76.4,5.710398
,,76.6,5.730049
,,76.8,5.749762
,,77.0,5.769535
,,77.2,5.789369
,,77.4,5.809264
,,77.6,5.829220
,,77.8,5.849237
,,78.0,5.869314
,,78.2,5.889452
,,78.4,5.909651
,,78.6,5.929910
,,78.8,5.950230
,,79.0,5.970610
,,79.2,5.991050
,,79.4,6.011551
,,79.6,6.032112
,,79.8,6.052733
,,80.0,6.073414
,,80.2,6.094155
,,80.4,6.114957
,,80.6,6.135818
,,80.8,6.156738
,,81.0,6.177719
,,81.2,6.198760
,,81.4,6.219860
,,81.6,6.241019
,,81.8,6.262238
,,82.0,6.283516
,,82.2,6.304854
,,82.4,6.326252
,,82.6,6.347708
,,82.8,6.369224
,,83.0,6.390798
,,83.2,6.412432
,,83.4,6.434124
,,83.6,6.455876
,,83.8,6.477687
,,84.0,6.499556
,,84.2,6.521484
,,84.4,6.543470
,,84.6,6.565516
,,84.8,6.587619
,,85.0,6.609781
,,85.2,6.632002
,,85.4,6.654281
,,85.6,6.676618
,,85.8,6.699013
,,86.0,6.721466
,,86.2,6.743977
,,86.4,6.766546
,,86.6,6.789173
,,86.8,6.811858
,,87.0,6.834601
,,87.2,6.857401
,,87.4,6.880259
,,87.6,6.903174
,,87.8,6.926147
,,88.0,6.949178
,,88.2,6.972265
,,88.4,6.995410
,,88.6,7.018612
,,88.8,7.041871
,,89.0,7.065187
,,89.2,7.088560
,,89.4,7.111990
,,89.6,7.135477
,,89.8,7.159020
,,90.0,7.182621
